タイトル,画像URL,icontext,icontext1,著者,数量,bookliststory
美術室のモンスターず,https://cf.image-cdn.k-manga.jp/cover_200/14/144190/b144190_1_200.jpg,少年漫画,ギャグ・コメディ,スズキツチタツ,"巻550pt
              
              お気に入り：1人",美術×人見知り×モンスター！？　人と話すことが苦手な女子高生・ブレイクさん。　彼女の学校での居場所は「誰も居ない美術室」。　だけどある日、美術室に突然現れた来訪者（モンスター♀）･･･！　彼女の狙いは美術室の中にあ…
きみよん～誰も死なないキミガシネ～,https://cf.image-cdn.k-manga.jp/cover_200/14/144609/b144609_1_200.jpg,少年漫画,ギャグ・コメディ,ナンキダイ,"巻640pt
              
              お気に入り：5人","サラが!? ジョーが!? ホエミーにハンナキ―まで!? キミガシネに登場するキャラクター達が大暴走!? ゲーム製作者・ナンキダイが自ら描き下ろした、誰も死なない抱腹絶倒のスピンオフショートギャグ!!
       …"
クビコリ様が飽いている,https://cf.image-cdn.k-manga.jp/cover_200/14/144621/b144621_1_200.jpg,少年漫画,ギャグ・コメディ,大出リコ,巻670pt,千年以上生きた。権力者を誑かし、国を傾けた。古今東西、あらゆる遊びに興じてきた。そして現在、大妖異・九尾狐狸の災禍は……ヒマを持て余していた。見た目はかわいい狐娘。秘めたるは世界を滅ぼす程度の妖力。中身はただただ毎…
えらしこ,https://cf.image-cdn.k-manga.jp/cover_200/14/144689/b144689_1_200.jpg,少年漫画,ギャグ・コメディ,さのうくにかず,"巻400pt
              
              お気に入り：2人",「ボールはトモダチ、だから蹴らない！」やる気、体力、技術、かねそなえない、ポンコツJCたちがユル～く挑む、“フットサル部”ギャグ４コマ！　やる気だけのセンスなし“理緒”天然ボケならワールドクラス“ゆん”たった２人の…
えらしこ 【分冊版】,https://cf.image-cdn.k-manga.jp/cover_200/14/144690/b144690_1_200.jpg,少年漫画,ギャグ・コメディ,さのうくにかず,巻100pt,「ボールはトモダチ、だから蹴らない！」やる気、体力、技術、かねそなえないポンコツJCたちがユル～く挑む、“フットサル部”ギャグ４コマ！　やる気だけのセンスなし“理緒”天然ボケならワールドクラス“ゆん”たった２人のフ…
18 エイティーン,https://cf.image-cdn.k-manga.jp/cover_200/14/145008/b145008_1_200.jpg,少年漫画,ギャグ・コメディ,ヨシノサツキ,"巻600pt
              
              お気に入り：14人",家庭の事情で幼い頃から引っ越しと転校を繰り返している景一が今回引っ越してきたのは静かな田舎町。卒業までなるべく目立たず穏やかに過ごそうと思っていた景一だが、変わり者のクラスメイト・レオが妙に絡んできて…？　思い出も…
エモ忠臣蔵！ ～理由（ワケ）あって最推しの体をお借りした模様～,https://cf.image-cdn.k-manga.jp/cover_200/14/145017/b145017_1_200.jpg,少年漫画,ギャグ・コメディ,じゅきあきら・T・,巻700pt,乙女ゲー『エモ忠臣蔵！』をこよなく愛す「天野詩央（あまのしお）」。寝落ちして起きてみたら…なんと、推しキャラの大石主税になっていた!?『コミックボンボン』で人気を誇った『海の大陸NOA』の”じゅきあきら・Ｔ・”よる…
ジバクくん,https://cf.image-cdn.k-manga.jp/cover_200/14/145083/b145083_1_200.jpg,少年漫画,ギャグ・コメディ,柴田亜美,"巻533pt
              
              お気に入り：3人",舞台は12の世界からなるツェルブワールド。世界でいちばんのグレートチャイルドを目指すため、聖霊・ジバクくんと少年・爆（ばく）の旅がはじまる…！
生徒会役員共(20) 特装版,https://cf.image-cdn.k-manga.jp/cover_200/14/145128/b145128_1_200.jpg,少年漫画,ギャグ・コメディ,氏家ト全,"巻980pt
              
              お気に入り：1人",元は伝統ある女子校だったが近年の少子化の影響で共学化した私立桜才学園。その数、女子５２４人、男子２８人、つまりハーレム！　生徒会だって女子だらけ♪‥っていってもそんなに楽じゃありません。強引に生徒会副会長にならされ…
陽気なしめりけ,https://cf.image-cdn.k-manga.jp/cover_200/14/145304/b145304_1_200.jpg,少年漫画,ギャグ・コメディ,緒木鈴人,巻600pt,日々ひっそりと生きる日陰の少年・根倉しめりけは、気になるあの子の為に陽気を目指す…！きみの心にじっとり。
海浜秀学院のシロイハル,https://cf.image-cdn.k-manga.jp/cover_200/14/145601/b145601_1_200.jpg,少年漫画,ギャグ・コメディ,谷川ニコ,"巻完200pt
              
              お気に入り：2人",とある偏差値高めな全寮制男子高校の寮。そこで、より高い気持ちよさを求め、｢ひとり☆快楽｣にかける男子たちの青春！！　　　『私がモテないのはどう考えてもお前らが悪い!』の著者による、静かなる衝撃作。満を持しての電子書…
書いて欲しけりゃコレを喰え,https://cf.image-cdn.k-manga.jp/cover_200/14/145752/b145752_1_200.jpg,少年漫画,ギャグ・コメディ,ジェイ・加藤,"巻640pt
              
              お気に入り：4人","新人編集の朝陽今日子はある日、超大物作家・芹沢錬太郎のアポ取りに成功。連載を勝ち取る為、意気揚々と打ち合わせに向かうも、仕事の条件として芹沢から何故か「ゲテモノ料理を食べること」を課せられ…!?
         …"
筋魂！ムキムキくん,https://cf.image-cdn.k-manga.jp/cover_200/14/145802/b145802_1_200.jpg,少年漫画,ギャグ・コメディ,関井シモン,"巻456pt
              
              お気に入り：1人","タロウのクラスに転校生がやってきた!!　彼の名は兜ムキくん！　筋肉ムキムキでちょっと変わった小学生。タロウを仰天させた未知なトレーニングの内容とは!?　大爆笑マッスルパワーギャグ、モリモリ開幕ッ！
        …"
総理倶楽部,https://cf.image-cdn.k-manga.jp/cover_200/14/145805/b145805_1_200.jpg,少年漫画,ギャグ・コメディ,日丸屋秀和,"巻740pt
              
                  
                
                1.0（1件）
              
              お気に入り：5人",国会議事堂の地下には、秘密の倶楽部が存在した――!?　将来に悩む男子高校生・日向大悟は突然来訪した紳士に招待され、国会議事堂へとやって来る。地下の秘密の空間へ誘われた彼を待っていたのは日本の歴代総理達だった！　時空…
裏崎さんは表野くんに伝えたい。,https://cf.image-cdn.k-manga.jp/cover_200/14/145893/b145893_1_200.jpg,少年漫画,ギャグ・コメディ,今野龍之介,"巻660pt
              
              お気に入り：2人","純粋さが仇となる！？ おバカ元気に好意を伝え続ける少年「表野くん」と、恥ずかしくて本意を伝えられず冷たくあしらい続ける少女「裏崎さん」。そんな二人の恋の行方は！ すれ違い学園ショートラブコメディ開幕！
      …"
ビートルズ×ラブ！,https://cf.image-cdn.k-manga.jp/cover_200/14/145903/b145903_1_200.jpg,少年漫画,ギャグ・コメディ,彩naTsu,"巻580pt
              
              お気に入り：1人","どっちが受けで、どっちが攻めなんですか？　ここは甲虫博物館。ニジイロクワガタ（♂）が他の甲虫仲間（♂）に感じた、ある感情とは…!? 腐男虫たちがオタ活に邁進する、胸キュンV甲虫ＢＬ×ブロマンスワールド！
     …"
先輩は刑事パイ,https://cf.image-cdn.k-manga.jp/cover_200/14/145990/b145990_1_200.jpg,少年漫画,ギャグ・コメディ,サブリック,"巻600pt
              
              お気に入り：5人",刑事課の新人・今野。彼がコンビを組むことになったのはグラマーで可愛い憧れの先輩・豊満みのり!! しかし彼女には人には言えない秘密が!?　その秘密とは…過激なコスチュームに身をつつみ、犯人の視線を釘付けにし検挙する刑…
おれはナマズ者,https://cf.image-cdn.k-manga.jp/cover_200/14/146337/b146337_1_200.jpg,少年漫画,ギャグ・コメディ,やまさき十三,"巻完420pt
              
              お気に入り：1人",なんてたって、釣りはノンビリいきたいもの。でも、勝負となれば、はなしはちがう。なんせ、おいら、天才釣り師なのら…!!
パニック方程式,https://cf.image-cdn.k-manga.jp/cover_200/14/146344/b146344_1_200.jpg,少年漫画,ギャグ・コメディ,こしたてつひろ,"巻完420pt
              
              お気に入り：1人",セーラー服着た女社長、白石カンナ。その超忙しい毎日の中に突然飛び込んできたヘンなヤツ。も～いきなり大パニック!!
アイドルマスター　シャイニーカラーズ シャニマスえぶりでい！,https://cf.image-cdn.k-manga.jp/cover_200/14/146655/b146655_1_200.jpg,少年漫画,ギャグ・コメディ,ギミー,巻1000pt,２８３プロのアイドルたちの日常をポップに描いて大人気の公式４コマが公式４コマが書籍になって登場！
はたらく細胞 ILLUSTRATIONS,https://cf.image-cdn.k-manga.jp/cover_200/14/146765/b146765_1_200.jpg,少年漫画,ギャグ・コメディ,清水茜,"巻完1500pt
              
              お気に入り：8人",月刊少年シリウス連載時の表紙・扉絵、各キャラクターの初期設定画、ラフスケッチ、特典イラスト等、コミックスでは未収録だったイラストも含め100点以上を完全収録！ 大ヒットコミック『はたらく細胞』の魅力がすべて詰まった…
デビィ・ザ・コルシファは負けず嫌い,https://cf.image-cdn.k-manga.jp/cover_200/14/146867/b146867_1_200.jpg,少年漫画,ギャグ・コメディ,平方昌宏,"巻418pt
              
              お気に入り：13人","暇を持て余す六郎のもとに突如現れた最強の悪魔デビィ・ザ・コルシファ!!　人間を滅ぼしに来た彼女に、六郎は咄嗟にババ抜きで勝負を申し込み――!?　チョロすぎ悪魔と一緒に遊ぶ、人類滅亡をかけた暇つぶしコメディ開幕!!
…"
